country,year,import_in_tonnes,use_in_tonnes
Greece,1997,435000000.0,1413000000.0
Greece,1996,151000000.0,1340000000.0
Greece,1995,733000000.0,1188000000.0
Greece,1994,1342000000.0,1137000000.0
Greece,1993,1955000000.0,1166000000.0
Greece,1992,2040000000.0,1429000000.0
Greece,1991,1806000000.0,1417000000.0
Greece,1990,2233000000.0,1451000000.0
Hungary,2021,4000000.0,0.0
Hungary,2020,9000000.0,5000000.0
Hungary,2019,11000000.0,3000000.0
Hungary,2018,24000000.0,5000000.0
Hungary,2017,20000000.0,8000000.0
Hungary,2016,9000000.0,8000000.0
Hungary,2015,22000000.0,9000000.0
Hungary,2014,20000000.0,13000000.0
Hungary,2013,18000000.0,13000000.0
Hungary,2012,10000000.0,12000000.0
Hungary,2011,13000000.0,9000000.0
Hungary,2010,17000000.0,9000000.0
Hungary,2009,32000000.0,15000000.0
Hungary,2008,12000000.0,21000000.0
Hungary,2007,27000000.0,46000000.0
Hungary,2006,94000000.0,62000000.0
Hungary,2005,123000000.0,84000000.0
Hungary,2004,205000000.0,167000000.0
Hungary,2003,404000000.0,177000000.0
Hungary,2002,503000000.0,167000000.0
Hungary,2001,158000000.0,236000000.0
Hungary,2000,247000000.0,290000000.0
Hungary,1999,618000000.0,369000000.0
Hungary,1998,923000000.0,337000000.0
Hungary,1997,983000000.0,341000000.0
Hungary,1996,939000000.0,526000000.0
Hungary,1995,681000000.0,494000000.0
Hungary,1994,739000000.0,475000000.0
Hungary,1993,655000000.0,441000000.0
Hungary,1992,340000000.0,620000000.0
Hungary,1991,226000000.0,683000000.0
Hungary,1990,187000000.0,780000000.0
Ireland,2021,373614000.0,0.0
Ireland,2020,172335000.0,29897000.0
Ireland,2019,113658000.0,30151000.0
Ireland,2018,76871000.0,31516000.0
Ireland,2017,60914000.0,31997000.0
Ireland,2016,60000000.0,30000000.0
Ireland,2015,121000000.0,43000000.0
Ireland,2014,103000000.0,94000000.0
Ireland,2013,187000000.0,164000000.0
Ireland,2012,202000000.0,135000000.0
Ireland,2011,236000000.0,198000000.0
Ireland,2010,303000000.0,343000000.0
Ireland,2009,436000000.0,260000000.0
Ireland,2008,599000000.0,368000000.0
Ireland,2007,601000000.0,399000000.0
Ireland,2006,1090000000.0,544000000.0
Ireland,2005,1145000000.0,516000000.0
Ireland,2004,1318000000.0,520000000.0
Ireland,2003,1177000000.0,518000000.0
Ireland,2002,1497000000.0,558000000.0
Ireland,2001,1831000000.0,614000000.0
Ireland,2000,1582000000.0,724000000.0
Ireland,1999,2207000000.0,683000000.0
Ireland,1998,1705000000.0,642000000.0
Ireland,1997,1584000000.0,665000000.0
Ireland,1996,1332000000.0,628000000.0
Ireland,1995,1378000000.0,681000000.0
Ireland,1994,1234000000.0,745000000.0
Ireland,1993,1267000000.0,618000000.0
Ireland,1992,906000000.0,625000000.0
Ireland,1991,1223000000.0,557000000.0
Ireland,1990,1127000000.0,599000000.0
Italy,2021,1219133000.0,0.0
Italy,2020,1239097000.0,857868000.0
Italy,2019,1007873000.0,959320000.0
Italy,2018,1692460000.0,1239409000.0
Italy,2017,846518000.0,1346130000.0
Italy,2016,827000000.0,1803000000.0
Italy,2015,339000000.0,1524000000.0
Italy,2014,329000000.0,1253000000.0
Italy,2013,538000000.0,1234000000.0
Italy,2012,600000000.0,1266000000.0
Italy,2011,850000000.0,1414000000.0
Italy,2010,968000000.0,1515000000.0
Italy,2009,1921000000.0,2595000000.0
Italy,2008,2434000000.0,3394000000.0
Italy,2007,2322000000.0,3157000000.0
Italy,2006,4029000000.0,3221000000.0
Italy,2005,3625000000.0,3248000000.0
Italy,2004,5625000000.0,3365000000.0
Italy,2003,9873000000.0,4545000000.0
Italy,2002,10774000000.0,4322000000.0
Italy,2001,7690000000.0,4014000000.0
Italy,2000,11744000000.0,4410000000.0
Italy,1999,11911000000.0,4789000000.0
Italy,1998,14349000000.0,3824000000.0
Italy,1997,15021000000.0,3699000000.0
Italy,1996,17797000000.0,3604000000.0
Italy,1995,16696000000.0,3530000000.0
Italy,1994,14906000000.0,3732000000.0
Italy,1993,14284000000.0,3564000000.0
Italy,1992,14414000000.0,4255000000.0
Italy,1991,10945000000.0,4557000000.0
Italy,1990,11821000000.0,5407000000.0
Latvia,2021,13337000.0,336000.0
Latvia,2020,4308000.0,733000.0
Latvia,2019,43804000.0,1635000.0
Latvia,2018,3813000.0,2576000.0
Latvia,2017,126698000.0,416000.0
Latvia,2016,157000000.0,0.0
Latvia,2015,135000000.0,0.0
Latvia,2014,168000000.0,1000000.0
Latvia,2013,169000000.0,2000000.0
Latvia,2012,169000000.0,5000000.0
Latvia,2011,159000000.0,4000000.0
Latvia,2010,216000000.0,9000000.0
Latvia,2009,244000000.0,9000000.0
Latvia,2008,167000000.0,11000000.0
Latvia,2007,122000000.0,12000000.0
