country,year,cattle_in_tonnes
Netherlands,1994,603000.0
Netherlands,1995,579972.0
Netherlands,1996,580100.0
Netherlands,1997,564700.0
Netherlands,1998,534700.0
Netherlands,1999,507600.0
Netherlands,2000,471000.0
Netherlands,2001,372000.0
Netherlands,2002,384000.0
Netherlands,2003,365000.0
Netherlands,2004,386000.0
Netherlands,2005,396008.0
Netherlands,2006,384000.0
Netherlands,2007,385571.0
Netherlands,2008,378383.0
Netherlands,2009,401752.0
Netherlands,2010,388610.0
Netherlands,2011,381559.0
Netherlands,2012,373531.0
Netherlands,2013,379100.0
Netherlands,2014,376180.0
Netherlands,2015,382520.0
Netherlands,2016,416060.0
Netherlands,2017,440639.0
Netherlands,2018,459210.0
Netherlands,2019,424300.0
Netherlands,2020,432840.0
Netherlands,2021,429640.0
Poland,1990,725400.0
Poland,1991,662500.0
Poland,1992,544100.0
Poland,1993,480400.0
Poland,1994,421300.0
Poland,1995,385700.0
Poland,1996,414900.0
Poland,1997,429100.0
Poland,1998,429900.0
Poland,1999,384600.0
Poland,2000,348500.0
Poland,2001,316300.0
Poland,2002,281300.0
Poland,2003,317400.0
Poland,2004,310500.0
Poland,2005,309500.0
Poland,2006,362900.0
Poland,2007,379500.0
Poland,2008,393400.0
Poland,2009,396900.0
Poland,2010,400900.0
Poland,2011,391200.0
Poland,2012,382900.0
Poland,2013,373900.0
Poland,2014,446300.0
Poland,2015,486700.0
Poland,2016,512000.0
Poland,2017,569200.0
Poland,2018,564840.0
Poland,2019,560500.0
Poland,2020,559460.0
Poland,2021,555220.0
Portugal,1990,116411.0
Portugal,1991,132689.0
Portugal,1992,127308.0
Portugal,1993,120426.0
Portugal,1994,95164.0
Portugal,1995,105016.0
Portugal,1996,100304.0
Portugal,1997,109538.0
Portugal,1998,96709.0
Portugal,1999,98214.0
Portugal,2000,100787.0
Portugal,2001,96312.0
Portugal,2002,106638.0
Portugal,2003,105772.0
Portugal,2004,119260.0
Portugal,2005,119019.0
Portugal,2006,106087.0
Portugal,2007,91743.0
Portugal,2008,108540.0
Portugal,2009,102995.0
Portugal,2010,93159.0
Portugal,2011,96003.0
Portugal,2012,92988.0
Portugal,2013,84011.0
Portugal,2014,79843.0
Portugal,2015,88645.0
Portugal,2016,90704.0
Portugal,2017,91187.0
Portugal,2018,93790.0
Portugal,2019,92030.0
Portugal,2020,97780.0
Portugal,2021,103000.0
Romania,1990,316500.0
Romania,1991,317000.0
Romania,1992,249500.0
Romania,1993,252000.0
Romania,1994,258000.0
Romania,1995,201781.0
Romania,1996,177415.0
Romania,1997,185104.0
Romania,1998,150245.0
Romania,1999,153000.0
Romania,2000,162000.0
Romania,2001,144558.0
Romania,2002,156106.0
Romania,2003,185400.0
Romania,2004,161618.0
Romania,2005,190196.0
Romania,2006,159313.0
Romania,2007,164642.0
Romania,2008,149660.0
Romania,2009,155199.0
Romania,2010,154464.0
Romania,2011,142306.0
Romania,2012,114464.0
Romania,2013,96179.0
Romania,2014,107581.0
Romania,2015,118851.0
Romania,2016,116177.0
Romania,2017,110991.0
Romania,2018,78760.0
Romania,2019,73730.0
Romania,2020,87490.0
Romania,2021,82720.0
Slovakia,1993,92810.0
Slovakia,1994,67064.0
Slovakia,1995,59336.0
Slovakia,1996,61109.0
Slovakia,1997,65572.0
Slovakia,1998,58813.0
Slovakia,1999,50164.0
Slovakia,2000,47950.0
Slovakia,2001,38175.0
Slovakia,2002,41640.0
Slovakia,2003,32885.0
Slovakia,2004,25580.0
Slovakia,2005,26385.0
Slovakia,2006,21413.0
Slovakia,2007,22989.0
Slovakia,2008,19862.0
Slovakia,2009,17672.0
Slovakia,2010,15611.0
Slovakia,2011,13177.0
Slovakia,2012,13177.0
Slovakia,2013,11721.0
Slovakia,2014,11597.37
Slovakia,2015,10711.0
Slovakia,2016,10261.0
Slovakia,2017,10534.0
Slovakia,2018,10670.0
Slovakia,2019,10710.0
Slovakia,2020,10920.0
Slovakia,2021,11930.0
Slovenia,1992,38166.0
Slovenia,1993,51527.0
Slovenia,1994,52200.0
Slovenia,1995,51200.0
Slovenia,1996,33641.0
Slovenia,1997,33781.0
Slovenia,1998,33721.0
Slovenia,1999,34482.0
Slovenia,2000,34572.0
Slovenia,2001,39159.0
Slovenia,2002,40472.0
Slovenia,2003,43136.0
Slovenia,2004,40079.0
Slovenia,2005,37382.0
Slovenia,2006,37908.0
Slovenia,2007,36203.0
Slovenia,2008,36943.0
Slovenia,2009,35260.0
Slovenia,2010,35772.0
Slovenia,2011,35571.0
Slovenia,2012,33089.0
Slovenia,2013,32104.0
Slovenia,2014,31566.0
Slovenia,2015,33583.0
Slovenia,2016,35656.0
Slovenia,2017,35795.0
Slovenia,2018,34870.0
Slovenia,2019,35740.0
Slovenia,2020,36500.0
Slovenia,2021,37540.0
Spain,1990,513898.0
Spain,1991,509284.0
Spain,1992,539418.0
Spain,1993,488000.0
Spain,1994,483734.0
Spain,1995,508492.0
Spain,1996,564602.0
Spain,1997,592252.0
Spain,1998,650727.0
Spain,1999,661068.0
Spain,2000,651093.0
Spain,2001,650841.0
Spain,2002,678838.0
Spain,2003,706369.0
Spain,2004,713886.0
Spain,2005,715329.0
Spain,2006,670048.0
Spain,2007,620166.0
Spain,2008,658332.0
Spain,2009,598431.0
Spain,2010,606596.0
Spain,2011,604113.0
Spain,2012,591319.0
Spain,2013,580840.0
Spain,2014,585218.0
Spain,2015,626104.0
Spain,2016,637012.74
Spain,2017,643860.64
Spain,2018,669010.0
Spain,2019,695170.0
Spain,2020,677740.0
Spain,2021,717880.0
Sweden,1990,145255.0
Sweden,1991,132000.0
Sweden,1992,125450.0
Sweden,1993,136660.0
Sweden,1994,136720.0
Sweden,1995,143330.0
Sweden,1996,137420.0
Sweden,1997,148890.0
Sweden,1998,142500.0
Sweden,1999,144040.0
Sweden,2000,149810.0
Sweden,2001,143190.0
Sweden,2002,146480.0
Sweden,2003,140400.0
Sweden,2004,142420.0
Sweden,2005,135940.0
Sweden,2006,137410.0
Sweden,2007,133540.0
Sweden,2008,128790.0
Sweden,2009,139830.0
Sweden,2010,137800.0
Sweden,2011,137880.0
Sweden,2012,125340.0
Sweden,2013,125880.0
Sweden,2014,131620.0
Sweden,2015,143980.0
Sweden,2016,131250.0
Sweden,2017,132070.0
Sweden,2018,138420.0
Sweden,2019,141150.0
Sweden,2020,142520.0
Sweden,2021,137370.0
